active_date,skill_name,database_solution,nosql_solution,databse_theory,cloud_solution,scripting_language,business_intelligence,job_count
2022-01,SQL,1,0,0,0,0,0,53
2022-01,Python,0,0,0,0,1,0,32
2022-01,Java,0,0,0,0,1,0,22
2022-01,Spark,1,1,0,0,0,0,11
2022-01,Hadoop,1,1,0,0,0,0,9
2022-01,Excel,0,0,0,0,0,1,7
2022-01,AWS,0,0,0,1,0,0,7
2022-01,Linux,0,0,0,0,0,0,7
2022-01,Scala,0,0,0,0,1,0,6
2022-01,R,0,0,0,0,1,0,6
2022-01,GCP,0,0,0,1,0,0,5
2022-01,Tableau,0,0,0,0,0,1,4
2022-01,ETL,0,0,1,0,0,0,4
2022-01,Statistical methods,0,0,0,0,0,0,4
2022-01,Azure,0,0,0,1,0,0,3
2022-02,Python,0,0,0,0,1,0,61
2022-02,SQL,1,0,0,0,0,0,49
2022-02,Java,0,0,0,0,1,0,40
2022-02,Scala,0,0,0,0,1,0,33
2022-02,Spark,1,1,0,0,0,0,19
2022-02,Excel,0,0,0,0,0,1,10
2022-02,Hadoop,1,1,0,0,0,0,9
2022-02,GCP,0,0,0,1,0,0,8
2022-02,Statistical methods,0,0,0,0,0,0,8
2022-02,ETL,0,0,1,0,0,0,7
2022-02,Linux,0,0,0,0,0,0,7
2022-02,R,0,0,0,0,1,0,6
2022-02,Tableau,0,0,0,0,0,1,6
2022-02,AWS,0,0,0,1,0,0,6
2022-02,PowerBI,0,0,0,0,0,1,3
2022-02,Azure,0,0,0,1,0,0,2
2022-02,Qlik,0,0,0,0,0,1,1
2022-02,SAP,0,0,0,0,0,0,1
2022-03,Python,0,0,0,0,1,0,72
2022-03,SQL,1,0,0,0,0,0,69
2022-03,Java,0,0,0,0,1,0,53
2022-03,Scala,0,0,0,0,1,0,43
2022-03,Hadoop,1,1,0,0,0,0,28
2022-03,GCP,0,0,0,1,0,0,24
2022-03,Spark,1,1,0,0,0,0,22
2022-03,Excel,0,0,0,0,0,1,17
2022-03,ETL,0,0,1,0,0,0,12
2022-03,AWS,0,0,0,1,0,0,10
2022-03,Statistical methods,0,0,0,0,0,0,8
2022-03,Tableau,0,0,0,0,0,1,8
2022-03,Linux,0,0,0,0,0,0,8
2022-03,Azure,0,0,0,1,0,0,8
2022-03,PowerBI,0,0,0,0,0,1,6
2022-03,R,0,0,0,0,1,0,5
2022-03,NoSQL,1,1,0,0,0,0,1
2022-03,Qlik,0,0,0,0,0,1,1
2022-03,SAP,0,0,0,0,0,0,1
2022-04,SQL,1,0,0,0,0,0,76
2022-04,Python,0,0,0,0,1,0,60
2022-04,Java,0,0,0,0,1,0,32
2022-04,Hadoop,1,1,0,0,0,0,28
2022-04,GCP,0,0,0,1,0,0,21
2022-04,Scala,0,0,0,0,1,0,20
2022-04,Spark,1,1,0,0,0,0,18
2022-04,AWS,0,0,0,1,0,0,17
2022-04,ETL,0,0,1,0,0,0,15
2022-04,Linux,0,0,0,0,0,0,13
2022-04,Excel,0,0,0,0,0,1,12
2022-04,Azure,0,0,0,1,0,0,10
2022-04,Tableau,0,0,0,0,0,1,8
2022-04,Statistical methods,0,0,0,0,0,0,5
2022-04,PowerBI,0,0,0,0,0,1,5
2022-04,R,0,0,0,0,1,0,4
2022-04,NoSQL,1,1,0,0,0,0,1
2022-04,SAP,0,0,0,0,0,0,1
2022-05,SQL,1,0,0,0,0,0,72
2022-05,Python,0,0,0,0,1,0,57
2022-05,Java,0,0,0,0,1,0,30
2022-05,AWS,0,0,0,1,0,0,27
2022-05,Spark,1,1,0,0,0,0,22
2022-05,Scala,0,0,0,0,1,0,18
2022-05,Azure,0,0,0,1,0,0,16
2022-05,Excel,0,0,0,0,0,1,13
2022-05,Hadoop,1,1,0,0,0,0,13
2022-05,Linux,0,0,0,0,0,0,13
2022-05,GCP,0,0,0,1,0,0,10
2022-05,ETL,0,0,1,0,0,0,6
2022-05,R,0,0,0,0,1,0,4
2022-05,Tableau,0,0,0,0,0,1,3
2022-05,PowerBI,0,0,0,0,0,1,3
2022-05,Statistical methods,0,0,0,0,0,0,2
2022-05,NoSQL,1,1,0,0,0,0,1
2022-06,SQL,1,0,0,0,0,0,136
2022-06,Spark,1,1,0,0,0,0,65
2022-06,Python,0,0,0,0,1,0,64
2022-06,PowerBI,0,0,0,0,0,1,43
2022-06,Qlik,0,0,0,0,0,1,38
2022-06,Java,0,0,0,0,1,0,30
2022-06,Hadoop,1,1,0,0,0,0,27
2022-06,AWS,0,0,0,1,0,0,25
2022-06,Scala,0,0,0,0,1,0,23
2022-06,NoSQL,1,1,0,0,0,0,20
2022-06,Excel,0,0,0,0,0,1,17
2022-06,Azure,0,0,0,1,0,0,17
2022-06,Linux,0,0,0,0,0,0,13
2022-06,GCP,0,0,0,1,0,0,11
2022-06,ETL,0,0,1,0,0,0,8
2022-06,R,0,0,0,0,1,0,7
2022-06,Tableau,0,0,0,0,0,1,6
2022-06,Statistical methods,0,0,0,0,0,0,1
2022-06,DWH,0,0,1,0,0,0,1
2022-07,SQL,1,0,0,0,0,0,138
2022-07,Python,0,0,0,0,1,0,82
2022-07,Spark,1,1,0,0,0,0,61
2022-07,Hadoop,1,1,0,0,0,0,36
2022-07,ETL,0,0,1,0,0,0,30
2022-07,PowerBI,0,0,0,0,0,1,28
2022-07,Java,0,0,0,0,1,0,25
2022-07,NoSQL,1,1,0,0,0,0,22
2022-07,Statistical methods,0,0,0,0,0,0,21
2022-07,Qlik,0,0,0,0,0,1,20
2022-07,Scala,0,0,0,0,1,0,17
2022-07,Linux,0,0,0,0,0,0,14
2022-07,AWS,0,0,0,1,0,0,13
2022-07,GCP,0,0,0,1,0,0,11
2022-07,Tableau,0,0,0,0,0,1,10
2022-07,Excel,0,0,0,0,0,1,8
2022-07,R,0,0,0,0,1,0,8
2022-07,Azure,0,0,0,1,0,0,5
2022-07,DWH,0,0,1,0,0,0,4
2022-08,SQL,1,0,0,0,0,0,173
2022-08,Python,0,0,0,0,1,0,90
2022-08,Java,0,0,0,0,1,0,58
2022-08,PowerBI,0,0,0,0,0,1,48
2022-08,Spark,1,1,0,0,0,0,42
2022-08,R,0,0,0,0,1,0,32
2022-08,Scala,0,0,0,0,1,0,31
2022-08,Hadoop,1,1,0,0,0,0,29
2022-08,Tableau,0,0,0,0,0,1,27
2022-08,Statistical methods,0,0,0,0,0,0,26
2022-08,ETL,0,0,1,0,0,0,26
2022-08,NoSQL,1,1,0,0,0,0,25
2022-08,DWH,0,0,1,0,0,0,23
2022-08,Data architecture,0,0,1,0,0,0,19
2022-08,AWS,0,0,0,1,0,0,17
2022-08,Linux,0,0,0,0,0,0,11
2022-08,GCP,0,0,0,1,0,0,7
2022-08,Azure,0,0,0,1,0,0,5
2022-08,Excel,0,0,0,0,0,1,4
2022-09,SQL,1,0,0,0,0,0,137
2022-09,Python,0,0,0,0,1,0,67
2022-09,Scala,0,0,0,0,1,0,57
2022-09,Java,0,0,0,0,1,0,54
2022-09,PowerBI,0,0,0,0,0,1,49
2022-09,Spark,1,1,0,0,0,0,42
2022-09,R,0,0,0,0,1,0,31
2022-09,Hadoop,1,1,0,0,0,0,22
2022-09,DWH,0,0,1,0,0,0,20
2022-09,Data architecture,0,0,1,0,0,0,19
2022-09,Tableau,0,0,0,0,0,1,15
2022-09,Excel,0,0,0,0,0,1,12
2022-09,GCP,0,0,0,1,0,0,12
2022-09,AWS,0,0,0,1,0,0,12
2022-09,Linux,0,0,0,0,0,0,8
2022-09,Statistical methods,0,0,0,0,0,0,7
2022-09,NoSQL,1,1,0,0,0,0,3
2022-09,Azure,0,0,0,1,0,0,2
2022-09,ETL,0,0,1,0,0,0,1
2022-10,SQL,1,0,0,0,0,0,145
2022-10,Python,0,0,0,0,1,0,60
2022-10,Scala,0,0,0,0,1,0,44
2022-10,PowerBI,0,0,0,0,0,1,41
2022-10,Spark,1,1,0,0,0,0,40
2022-10,Tableau,0,0,0,0,0,1,33
2022-10,Hadoop,1,1,0,0,0,0,33
2022-10,Excel,0,0,0,0,0,1,28
2022-10,NoSQL,1,1,0,0,0,0,19
2022-10,Java,0,0,0,0,1,0,19
2022-10,SAP,0,0,0,0,0,0,19
2022-10,GCP,0,0,0,1,0,0,11
2022-10,R,0,0,0,0,1,0,9
2022-10,AWS,0,0,0,1,0,0,8
2022-10,Linux,0,0,0,0,0,0,6
2022-10,Statistical methods,0,0,0,0,0,0,4
2022-10,Azure,0,0,0,1,0,0,3
2022-10,ETL,0,0,1,0,0,0,1
2022-10,DWH,0,0,1,0,0,0,1
2022-11,SQL,1,0,0,0,0,0,150
2022-11,Python,0,0,0,0,1,0,59
2022-11,PowerBI,0,0,0,0,0,1,55
2022-11,Java,0,0,0,0,1,0,35
2022-11,NoSQL,1,1,0,0,0,0,34
2022-11,Tableau,0,0,0,0,0,1,32
2022-11,Excel,0,0,0,0,0,1,30
2022-11,AWS,0,0,0,1,0,0,29
2022-11,Hadoop,1,1,0,0,0,0,23
2022-11,Scala,0,0,0,0,1,0,20
2022-11,ETL,0,0,1,0,0,0,20
2022-11,SAP,0,0,0,0,0,0,19
2022-11,Spark,1,1,0,0,0,0,13
2022-11,GCP,0,0,0,1,0,0,8
2022-11,Linux,0,0,0,0,0,0,7
2022-11,DWH,0,0,1,0,0,0,5
2022-11,R,0,0,0,0,1,0,4
2022-11,Statistical methods,0,0,0,0,0,0,3
2022-11,Azure,0,0,0,1,0,0,3
2022-11,Qlik,0,0,0,0,0,1,1
2022-12,SQL,1,0,0,0,0,0,145
2022-12,Python,0,0,0,0,1,0,49
2022-12,PowerBI,0,0,0,0,0,1,42
2022-12,NoSQL,1,1,0,0,0,0,34
2022-12,Java,0,0,0,0,1,0,34
2022-12,AWS,0,0,0,1,0,0,30
2022-12,Scala,0,0,0,0,1,0,26
2022-12,Tableau,0,0,0,0,0,1,25
2022-12,R,0,0,0,0,1,0,23
2022-12,Hadoop,1,1,0,0,0,0,21
2022-12,ETL,0,0,1,0,0,0,21
2022-12,Spark,1,1,0,0,0,0,11
2022-12,Statistical methods,0,0,0,0,0,0,11
2022-12,Excel,0,0,0,0,0,1,11
2022-12,DWH,0,0,1,0,0,0,10
2022-12,GCP,0,0,0,1,0,0,6
2022-12,Azure,0,0,0,1,0,0,5
2022-12,SAP,0,0,0,0,0,0,4
2022-12,Linux,0,0,0,0,0,0,4
2022-12,Qlik,0,0,0,0,0,1,1
2023-01,SQL,1,0,0,0,0,0,195
2023-01,ETL,0,0,1,0,0,0,77
2023-01,Python,0,0,0,0,1,0,76
2023-01,Excel,0,0,0,0,0,1,51
2023-01,PowerBI,0,0,0,0,0,1,47
2023-01,Scala,0,0,0,0,1,0,46
2023-01,AWS,0,0,0,1,0,0,26
2023-01,Tableau,0,0,0,0,0,1,25
2023-01,R,0,0,0,0,1,0,23
2023-01,Linux,0,0,0,0,0,0,22
2023-01,Data architecture,0,0,1,0,0,0,19
2023-01,Spark,1,1,0,0,0,0,17
2023-01,Statistical methods,0,0,0,0,0,0,16
2023-01,Java,0,0,0,0,1,0,15
2023-01,NoSQL,1,1,0,0,0,0,15
2023-01,DWH,0,0,1,0,0,0,10
2023-01,Azure,0,0,0,1,0,0,5
2023-01,Hadoop,1,1,0,0,0,0,4
2023-01,SAP,0,0,0,0,0,0,4
2023-01,GCP,0,0,0,1,0,0,3
2023-02,SQL,1,0,0,0,0,0,210
2023-02,Python,0,0,0,0,1,0,116
2023-02,ETL,0,0,1,0,0,0,75
2023-02,Scala,0,0,0,0,1,0,64
2023-02,PowerBI,0,0,0,0,0,1,59
2023-02,Excel,0,0,0,0,0,1,50
2023-02,Spark,1,1,0,0,0,0,39
2023-02,AWS,0,0,0,1,0,0,23
2023-02,Linux,0,0,0,0,0,0,21
2023-02,GCP,0,0,0,1,0,0,21
2023-02,Data architecture,0,0,1,0,0,0,19
2023-02,Java,0,0,0,0,1,0,14
2023-02,Azure,0,0,0,1,0,0,10
2023-02,R,0,0,0,0,1,0,6
2023-02,Tableau,0,0,0,0,0,1,5
2023-02,Hadoop,1,1,0,0,0,0,5
2023-02,DWH,0,0,1,0,0,0,5
2023-02,Statistical methods,0,0,0,0,0,0,5
2023-02,Qlik,0,0,0,0,0,1,3
2023-02,SAP,0,0,0,0,0,0,2
2023-02,NoSQL,1,1,0,0,0,0,1
2023-03,SQL,1,0,0,0,0,0,132
2023-03,Python,0,0,0,0,1,0,116
2023-03,Scala,0,0,0,0,1,0,52
2023-03,Spark,1,1,0,0,0,0,44
2023-03,PowerBI,0,0,0,0,0,1,41
2023-03,GCP,0,0,0,1,0,0,37
2023-03,R,0,0,0,0,1,0,22
2023-03,Java,0,0,0,0,1,0,15
2023-03,Azure,0,0,0,1,0,0,15
2023-03,Excel,0,0,0,0,0,1,12
2023-03,Tableau,0,0,0,0,0,1,10
2023-03,Hadoop,1,1,0,0,0,0,8
2023-03,ETL,0,0,1,0,0,0,4
2023-03,AWS,0,0,0,1,0,0,4
2023-03,Qlik,0,0,0,0,0,1,3
2023-03,SAP,0,0,0,0,0,0,2
2023-03,Linux,0,0,0,0,0,0,1
2023-03,NoSQL,1,1,0,0,0,0,1
2023-04,SQL,1,0,0,0,0,0,86
2023-04,Python,0,0,0,0,1,0,69
2023-04,Spark,1,1,0,0,0,0,51
2023-04,Scala,0,0,0,0,1,0,48
2023-04,PowerBI,0,0,0,0,0,1,31
2023-04,R,0,0,0,0,1,0,24
2023-04,Azure,0,0,0,1,0,0,24
2023-04,GCP,0,0,0,1,0,0,19
2023-04,SAP,0,0,0,0,0,0,15
2023-04,Hadoop,1,1,0,0,0,0,14
2023-04,Excel,0,0,0,0,0,1,12
2023-04,Java,0,0,0,0,1,0,11
2023-04,ETL,0,0,1,0,0,0,10
2023-04,AWS,0,0,0,1,0,0,9
2023-04,Tableau,0,0,0,0,0,1,8
2023-05,SQL,1,0,0,0,0,0,138
2023-05,Python,0,0,0,0,1,0,85
2023-05,Spark,1,1,0,0,0,0,33
2023-05,PowerBI,0,0,0,0,0,1,30
2023-05,Scala,0,0,0,0,1,0,24
2023-05,Hadoop,1,1,0,0,0,0,21
2023-05,SAP,0,0,0,0,0,0,19
2023-05,AWS,0,0,0,1,0,0,18
2023-05,GCP,0,0,0,1,0,0,15
2023-05,Java,0,0,0,0,1,0,14
2023-05,Excel,0,0,0,0,0,1,11
2023-05,ETL,0,0,1,0,0,0,7
2023-05,Tableau,0,0,0,0,0,1,5
2023-05,Azure,0,0,0,1,0,0,4
2023-05,Linux,0,0,0,0,0,0,3
2023-05,R,0,0,0,0,1,0,2
2023-06,SQL,1,0,0,0,0,0,120
2023-06,Python,0,0,0,0,1,0,63
2023-06,Spark,1,1,0,0,0,0,22
2023-06,Scala,0,0,0,0,1,0,22
2023-06,AWS,0,0,0,1,0,0,19
2023-06,Hadoop,1,1,0,0,0,0,15
2023-06,SAP,0,0,0,0,0,0,8
2023-06,Java,0,0,0,0,1,0,7
2023-06,ETL,0,0,1,0,0,0,5
2023-06,GCP,0,0,0,1,0,0,5
2023-06,DWH,0,0,1,0,0,0,4
2023-06,Azure,0,0,0,1,0,0,4
2023-06,Linux,0,0,0,0,0,0,4
2023-06,Excel,0,0,0,0,0,1,4
2023-06,Tableau,0,0,0,0,0,1,2
2023-06,PowerBI,0,0,0,0,0,1,1
2023-06,R,0,0,0,0,1,0,1
2023-07,SQL,1,0,0,0,0,0,55
2023-07,Scala,0,0,0,0,1,0,31
2023-07,Python,0,0,0,0,1,0,28
2023-07,Spark,1,1,0,0,0,0,18
2023-07,Hadoop,1,1,0,0,0,0,12
2023-07,AWS,0,0,0,1,0,0,8
2023-07,SAP,0,0,0,0,0,0,8
2023-07,ETL,0,0,1,0,0,0,7
2023-07,PowerBI,0,0,0,0,0,1,7
2023-07,Java,0,0,0,0,1,0,6
2023-07,GCP,0,0,0,1,0,0,5
2023-07,Excel,0,0,0,0,0,1,5
2023-07,Statistical methods,0,0,0,0,0,0,4
2023-07,DWH,0,0,1,0,0,0,4
2023-07,Azure,0,0,0,1,0,0,4
2023-07,Linux,0,0,0,0,0,0,3
2023-07,R,0,0,0,0,1,0,1
2023-07,Tableau,0,0,0,0,0,1,1
2023-08,SQL,1,0,0,0,0,0,104
2023-08,PowerBI,0,0,0,0,0,1,42
2023-08,Python,0,0,0,0,1,0,41
2023-08,GCP,0,0,0,1,0,0,33
2023-08,Spark,1,1,0,0,0,0,26
2023-08,Scala,0,0,0,0,1,0,25
2023-08,Tableau,0,0,0,0,0,1,17
2023-08,Excel,0,0,0,0,0,1,15
2023-08,Statistical methods,0,0,0,0,0,0,14
2023-08,Azure,0,0,0,1,0,0,10
2023-08,Qlik,0,0,0,0,0,1,10
2023-08,ETL,0,0,1,0,0,0,8
2023-08,SAP,0,0,0,0,0,0,8
2023-08,Hadoop,1,1,0,0,0,0,7
2023-08,DWH,0,0,1,0,0,0,5
2023-08,Java,0,0,0,0,1,0,4
2023-08,R,0,0,0,0,1,0,1
2023-08,Linux,0,0,0,0,0,0,1
2023-09,SQL,1,0,0,0,0,0,80
2023-09,Python,0,0,0,0,1,0,47
2023-09,Scala,0,0,0,0,1,0,39
2023-09,GCP,0,0,0,1,0,0,39
2023-09,PowerBI,0,0,0,0,0,1,37
2023-09,Spark,1,1,0,0,0,0,33
2023-09,Excel,0,0,0,0,0,1,18
2023-09,Tableau,0,0,0,0,0,1,16
2023-09,SAP,0,0,0,0,0,0,15
2023-09,Java,0,0,0,0,1,0,14
2023-09,AWS,0,0,0,1,0,0,14
2023-09,Data architecture,0,0,1,0,0,0,11
2023-09,Azure,0,0,0,1,0,0,10
2023-09,Statistical methods,0,0,0,0,0,0,10
2023-09,ETL,0,0,1,0,0,0,5
2023-09,DWH,0,0,1,0,0,0,5
2023-09,Hadoop,1,1,0,0,0,0,3